. depth . depth																						
Depth (m) EDC	Ice age (a 1950) AICC		depth m EDC	Gas age (a 1950) AICC		EDC depth[m]	EDC CH4 [ppbv]		Gas age (a 1950) AICC	depth/gas age m EDC		depth m EDC (ref)	CO2compositBereiter		Ice age (a 1950) AICC	Depth/Ice age (m) EDC		Depth(m) EDC	EDC deut cor		Depth (m) EDC (ref)	nssCA800ka
234.3	7264.7		292.05	7215.35		263.83	575		7190.12	293.7		112.264549	278.36		7264.7	234.3		84.7	-394.8		2424.983799	78.795
235.95	7329.52		293.7	7190.12		264.99	570		7215.35	292.05		112.5976075	284.07		7329.52	235.95		85.25	-397.7		2431.240419	89.613
237.6	7387.94		295.35	7307.53		266.09	584		7307.53	295.35		113.0007274	281.58		7387.94	237.6		85.8	-400.3		2437.827586	63.713
239.25	7453.85		297	7381.47		268.13	564		7381.47	297		113.5208535	278.43		7453.85	239.25		86.35	-402.4		2444.688509	110.53
240.9	7518.59		298.65	7457.16		268.23	602		7457.16	298.65		113.854083	282.2		7518.59	240.9		86.9	-396		2450.593041	158.07
242.55	7579.87		300.3	7519.93		268.92	592		7519.93	300.3		114.0409953	282.41		7579.87	242.55		87.45	-401.4		2455.706195	158.906
244.2	7637.47		301.95	7651		269.12	597		7651	301.95		114.9555953	283.69		7637.47	244.2		88	-386.1		2461.144737	121.579
245.85	7697.71		303.6	7667.29		269.23	581		7667.29	303.6		115.2082898	284.54		7697.71	245.85		88.55	-400.1		2466.197393	109.18
247.5	7758.06		305.25	7714.54		269.94	597		7714.54	305.25		115.9455956	283.97		7758.06	247.5		89.1	-400.3		2471.660145	79.23
249.15	7818.14		306.9	7731.21		271.63	590		7731.21	306.9		116.3639923	284.51		7818.14	249.15		89.65	-393.2		2476.748309	61.308
250.8	7879.23		308.55	7862.57		275.71	590		7862.57	308.55		117.0159176	282.84		7879.23	250.8		90.2	-399.7		2482.416495	51.017
252.45	7940.7		310.2	7890.91		275.83	577		7890.91	310.2		117.6901688	283.09		7940.7	252.45		90.75	-397.9		2488.123884	127.521
254.1	8001.02		311.85	7952.86		276.09	583		7946.1	313.5		119.5283267	282.84		8001.02	254.1		91.3	-402		2493.105896	127.503
